Age,Income,LoanAmount,CreditScore,EmploymentStatus,LoanTerm,PreviousDefaults,DebtToIncomeRatio,MaritalStatus,Education,Default
58,72717.8,32750.24,647.0,Unemployed,12,0,0.27,Divorced,Masters,1
33,50954.22,13904.04,619.0,Unemployed,12,0,0.37,Married,PhD,0
51,42527.71,5575.67,698.0,Employed,36,0,0.66,Married,Bachelors,0
35,70680.24,7596.6,456.0,Employed,36,0,0.11,Married,High School,0
36,25102.7,16451.41,757.0,Employed,12,0,,Divorced,High School,0
29,49643.86,21774.17,663.0,Unemployed,48,0,0.48,Single,Bachelors,1
65,101047.59,13292.35,595.0,Unemployed,60,0,0.71,Single,Bachelors,1
27,54155.43,4845.36,727.0,Employed,60,2,0.02,Single,Bachelors,0
45,64689.33,10141.16,734.0,Self-Employed,36,2,,Single,Bachelors,1
37,67605.58,19981.69,755.0,Unemployed,36,3,0.31,Single,High School,1
27,88860.83,11355.68,690.0,Self-Employed,24,3,0.14,Single,Bachelors,0
48,48430.85,18406.75,632.0,Employed,36,0,0.48,Single,High School,0
56,82013.68,16872.2,639.0,Employed,24,0,0.32,Single,Bachelors,1
46,45798.12,8111.3,736.0,Employed,24,3,0.3,Single,High School,0
36,24965.49,9734.01,572.0,Self-Employed,48,0,0.5,Married,High School,1
59,68625.8,1000.0,635.0,Employed,24,2,0.29,Single,High School,0
26,32962.63,30178.31,709.0,Employed,12,0,0.22,Married,High School,0
55,32969.08,21175.36,658.0,Employed,12,1,0.38,Single,Bachelors,1
48,52353.96,24996.95,602.0,Employed,60,0,0.25,Single,Bachelors,0
22,16238.98,12046.34,783.0,Employed,24,2,0.26,Married,Masters,0
63,34449.6,24766.57,689.0,Employed,12,2,0.53,Married,Bachelors,1
36,34365.78,20917.23,694.0,Employed,24,0,0.24,Single,Masters,1
53,41179.64,12808.06,673.0,Self-Employed,24,2,0.35,Single,Bachelors,0
40,39025.14,24228.72,543.0,Employed,36,1,0.56,Single,Masters,1
45,56896.76,11722.51,522.0,Employed,36,0,0.2,Married,High School,0
25,52808.54,18803.45,676.0,Self-Employed,48,0,0.12,Divorced,Bachelors,0
58,56019.7,16569.05,685.0,Retired,24,0,0.14,Single,Masters,0
61,72688.44,17738.7,565.0,Self-Employed,60,0,0.2,Divorced,High School,0
27,58652.61,10750.29,639.0,Employed,12,1,0.37,Divorced,Masters,1
27,37382.25,16690.27,815.0,Unemployed,48,0,0.18,Married,Bachelors,0
23,26624.94,12309.96,649.0,Retired,36,0,0.33,Single,Bachelors,1
48,101081.52,22162.84,656.0,Employed,36,1,0.23,Single,PhD,0
23,54288.01,19585.02,624.0,Self-Employed,24,3,0.28,Single,High School,1
65,85536.21,27507.31,572.0,Employed,36,0,0.45,Married,Bachelors,0
37,50544.66,13068.02,647.0,Employed,24,2,0.36,Divorced,High School,1
47,85198.61,23059.55,651.0,Employed,60,0,0.76,Divorced,Bachelors,0
33,54890.72,25215.72,657.0,Employed,48,1,0.26,Married,Masters,1
58,66407.98,25964.29,710.0,Employed,36,0,0.31,Married,Bachelors,0
59,60061.45,19865.97,644.0,Employed,36,3,0.13,Single,Masters,1
55,87416.93,10437.19,638.0,Self-Employed,24,0,0.49,Married,Bachelors,0
37,82855.09,6181.66,713.0,Self-Employed,48,0,0.45,Single,Bachelors,0
35,,10742.65,544.0,Self-Employed,24,0,0.4,Single,Bachelors,1
45,83179.43,27624.94,738.0,Employed,24,0,0.46,Married,Bachelors,0
55,46772.27,6380.99,625.0,Employed,24,0,0.2,Married,Bachelors,0
58,60817.02,14172.55,694.0,Employed,36,0,0.22,Divorced,High School,0
45,54179.45,13504.83,740.0,Employed,12,0,0.24,Married,Masters,0
46,15000.0,8229.47,726.0,Retired,60,2,0.55,Single,Masters,1
42,42545.65,1000.0,648.0,Employed,60,0,0.12,Married,High School,1
41,51886.97,14380.45,638.0,Employed,36,0,0.35,Single,Bachelors,0
42,50657.75,24647.96,508.0,Retired,12,0,0.46,Divorced,Bachelors,1
30,53873.32,21208.22,662.0,Unemployed,36,1,0.41,Single,Masters,1
43,59488.91,9152.35,701.0,Employed,24,1,0.02,Married,Masters,0
61,73965.55,13793.3,504.0,Employed,36,0,0.35,Single,Bachelors,0
46,73956.75,8212.57,590.0,Employed,12,3,0.3,Single,Masters,1
32,66535.17,5065.92,579.0,Employed,48,1,0.2,Married,High School,0
28,37510.95,26912.9,570.0,Employed,36,1,0.26,Married,Masters,1
37,57325.98,20346.72,850.0,Unemployed,24,1,0.38,Single,Masters,0
39,62853.83,11891.83,665.0,Employed,24,0,0.31,Single,Bachelors,0
28,55250.73,6264.53,663.0,Employed,60,0,0.44,Single,Bachelors,0
52,73882.17,23727.84,689.0,Employed,48,0,0.45,Married,Masters,0
62,81481.07,1538.73,739.0,Employed,12,3,0.26,Divorced,Bachelors,0
30,39894.23,18345.65,647.0,Employed,48,0,0.38,Married,Bachelors,0
29,33474.1,11363.62,705.0,Employed,24,3,0.49,Married,High School,1
34,60784.43,14286.13,685.0,Unemployed,48,0,0.36,Married,High School,0
60,67990.1,20433.14,682.0,Employed,48,0,0.28,Single,Masters,0
46,48424.21,30780.34,,Employed,12,0,0.48,Married,Bachelors,1
40,44504.61,14216.68,636.0,Employed,36,0,0.48,Single,Masters,0
24,88876.44,15670.61,724.0,Employed,48,0,0.07,Married,High School,0
44,76937.71,2634.16,644.0,Self-Employed,48,1,0.51,Single,Bachelors,1
46,58556.79,25606.37,589.0,Employed,48,1,0.41,Married,Masters,0
37,46968.7,22290.9,649.0,Employed,36,1,0.66,Married,Bachelors,1
63,49131.58,17043.07,721.0,Employed,36,1,0.36,Single,Bachelors,0
24,63658.17,18658.24,616.0,Employed,36,3,0.25,Single,Masters,1
42,65990.54,6663.64,711.0,Employed,12,1,0.48,Married,Masters,0
59,,3265.72,521.0,Retired,24,0,0.35,Divorced,High School,1
55,45156.54,7839.44,641.0,Employed,12,0,0.31,Single,Bachelors,1
43,57403.74,8106.38,512.0,Unemployed,48,0,0.44,Married,High School,1
54,30963.8,9801.88,643.0,Employed,60,0,0.52,Single,Bachelors,1
31,31906.14,28054.86,666.0,Employed,36,0,0.09,Single,Masters,0
28,76621.85,7837.23,709.0,Employed,36,1,0.42,Divorced,Masters,0
28,60039.44,13388.07,721.0,Employed,24,2,0.51,Single,Bachelors,1
22,68875.57,22974.87,743.0,Retired,24,0,0.4,Married,High School,0
23,64657.18,23806.57,810.0,Employed,12,0,0.11,Married,Bachelors,0
60,44023.91,14352.97,839.0,Unemployed,36,0,0.3,Single,PhD,0
42,60145.58,8291.31,733.0,Self-Employed,48,2,0.4,Married,High School,0
32,62448.38,20561.62,636.0,Unemployed,48,0,0.33,Single,Bachelors,1
52,74859.43,1000.0,643.0,Employed,48,1,0.55,Married,High School,0
40,59040.13,7298.14,648.0,Retired,60,0,0.45,Single,PhD,0
37,45035.41,4960.62,574.0,Unemployed,24,0,0.32,Married,Bachelors,1
54,64534.47,7767.45,712.0,Employed,48,0,0.12,Divorced,Masters,0
31,77603.61,22323.12,524.0,Employed,36,1,0.26,Single,High School,1
48,38897.07,10603.68,722.0,Unemployed,60,2,0.26,Married,High School,0
37,46964.19,15784.54,637.0,Unemployed,24,0,0.29,Married,Bachelors,1
36,66649.53,7141.65,690.0,Employed,24,0,0.38,Married,Bachelors,0
21,58750.89,27131.15,714.0,Employed,48,0,0.26,Divorced,Bachelors,0
42,71643.41,8116.92,638.0,,36,0,0.29,Divorced,Bachelors,0
26,73718.28,7283.7,544.0,Self-Employed,36,0,0.13,Single,Masters,0
46,50485.01,31374.9,558.0,Employed,24,0,0.59,Single,High School,1
62,56288.19,24899.51,564.0,Employed,24,2,0.34,Married,Masters,1
55,67146.75,2866.86,499.0,Employed,24,2,0.48,Married,Bachelors,1
56,84504.1,16515.84,708.0,Self-Employed,24,0,0.3,Single,Masters,0
31,34846.89,6589.52,560.0,Employed,24,0,0.38,Married,High School,1
57,86540.87,2481.58,772.0,Employed,36,0,0.41,Married,Masters,0
30,39963.75,9117.57,818.0,Employed,36,0,0.11,Single,High School,0
44,35009.63,17797.2,747.0,Employed,36,0,0.47,Married,Masters,0
58,59834.66,16662.42,677.0,Unemployed,24,1,0.29,Divorced,Bachelors,1
50,65594.41,4306.2,721.0,Employed,24,2,0.1,Married,Masters,0
61,45001.41,21666.67,792.0,Employed,24,1,0.34,Divorced,High School,0
64,39702.8,13376.15,621.0,Employed,12,0,0.18,Married,Bachelors,0
35,70704.23,11268.04,619.0,Unemployed,24,0,0.39,Married,High School,1
50,61020.22,7906.55,740.0,Employed,24,0,0.34,Married,Bachelors,0
46,34845.94,17572.75,603.0,Self-Employed,24,0,0.2,Single,Bachelors,0
58,73176.71,1949.79,601.0,Self-Employed,12,0,0.32,Married,Bachelors,0
22,44638.52,20036.24,781.0,Retired,24,0,0.39,Single,High School,0
51,62594.57,14699.43,652.0,Employed,24,0,0.26,Married,Bachelors,0
52,35738.47,5818.47,620.0,Employed,24,0,0.44,Single,Bachelors,1
48,49304.65,20769.08,653.0,Retired,12,0,0.27,Married,High School,0
33,29553.14,30529.74,745.0,Self-Employed,48,0,0.57,Married,Bachelors,0
51,85058.28,11705.41,589.0,Employed,36,1,0.47,Divorced,Masters,1
31,45167.6,15628.62,620.0,Retired,48,0,0.53,Married,Masters,1
46,59333.56,13978.76,645.0,Employed,24,0,0.3,Single,Masters,0
54,54403.71,14751.53,755.0,Self-Employed,36,0,0.15,Single,High School,0
40,76431.63,24840.0,608.0,Employed,12,2,0.22,Married,Bachelors,0
40,54109.65,17365.0,640.0,Employed,12,3,0.24,Married,Masters,1
26,21402.34,1018.91,630.0,Employed,36,0,0.3,Married,Masters,0
22,49505.96,7141.57,601.0,Self-Employed,24,0,0.3,Single,High School,1
22,83394.16,21063.37,690.0,Self-Employed,36,0,0.46,Divorced,Masters,0
55,55879.48,7381.47,573.0,Employed,24,1,0.42,Married,Masters,0
21,86874.41,18637.93,636.0,Self-Employed,60,0,,Married,Masters,0
32,44846.58,11860.23,658.0,Employed,12,0,0.46,Married,Bachelors,0
50,19441.6,18801.34,703.0,Employed,24,0,0.51,Single,Bachelors,0
50,70131.58,4053.48,702.0,Employed,12,0,0.3,Single,Bachelors,0
43,68664.79,15617.25,541.0,Unemployed,36,0,0.22,Married,High School,1
41,95872.47,24788.55,655.0,Self-Employed,36,0,0.35,Married,High School,0
43,61636.12,14635.9,706.0,Employed,48,2,0.29,Divorced,High School,0
25,77098.04,17940.96,550.0,,48,0,0.33,Married,High School,1
65,99873.99,1000.0,728.0,Employed,60,1,0.08,Married,High School,0
33,54322.58,17941.19,607.0,Retired,12,1,0.17,Single,Bachelors,0
57,74305.13,14382.23,744.0,Employed,48,2,0.43,Married,Masters,0
39,98261.48,13445.85,632.0,Employed,60,0,0.16,Married,Bachelors,0
31,72195.49,14511.97,750.0,Self-Employed,60,0,0.55,Single,High School,0
21,55507.26,19256.05,699.0,Retired,36,1,0.23,Married,Bachelors,0
35,86085.35,12109.52,809.0,Employed,36,1,0.4,Single,PhD,0
24,46190.09,10145.08,551.0,Employed,36,1,0.5,Married,Bachelors,1
45,92590.74,28195.85,580.0,Employed,36,1,0.15,Married,PhD,1
37,96236.97,18647.23,670.0,Employed,48,0,0.32,Single,Masters,0
27,55280.42,18760.35,769.0,Employed,24,2,0.31,Married,High School,0
62,53845.51,15581.44,707.0,Employed,12,0,0.35,Single,Bachelors,0
25,96380.17,14608.82,632.0,Employed,24,0,0.14,Single,Masters,0
57,46290.05,1000.0,490.0,Employed,36,1,0.58,Divorced,Masters,1
46,50327.36,8218.93,644.0,Self-Employed,36,0,0.4,Single,High School,0
64,52299.0,14207.25,664.0,Unemployed,12,0,0.41,Divorced,High School,1
30,86095.78,1000.0,408.0,Employed,12,0,0.41,Married,Masters,0
40,37730.09,28033.33,625.0,Employed,36,2,0.46,Married,Bachelors,1
44,76047.32,16723.17,641.0,Employed,24,0,0.35,Married,Bachelors,0
31,55331.53,15305.9,714.0,Employed,48,0,0.51,Single,Bachelors,0
24,50367.22,1000.0,715.0,Self-Employed,36,3,0.32,Single,Bachelors,0
36,63621.64,14657.41,685.0,Retired,36,0,0.47,Married,High School,1
65,49191.76,13220.2,715.0,Employed,36,0,0.2,Married,High School,0
61,63837.55,4693.54,615.0,Self-Employed,12,0,0.34,Married,PhD,0
48,66703.62,20123.84,672.0,Employed,24,0,0.53,Single,High School,0
57,67534.97,17583.8,850.0,Employed,60,0,0.15,Single,High School,0
50,50923.38,1000.0,581.0,Employed,36,1,,Divorced,Masters,0
24,51237.58,16253.55,689.0,Employed,12,0,0.14,Single,High School,1
51,76539.37,14268.8,736.0,Employed,60,0,0.68,Married,Bachelors,0
34,59388.41,1884.13,737.0,Employed,24,1,0.37,Single,Masters,0
21,67531.71,22218.22,850.0,Employed,48,0,0.35,Married,High School,0
26,72505.98,2611.05,666.0,Employed,12,0,0.6,Married,Masters,1
35,43175.9,11764.82,656.0,Unemployed,60,0,0.35,Married,Masters,0
59,66086.84,13924.03,542.0,Unemployed,48,0,0.23,Married,Bachelors,1
51,30522.59,11670.44,524.0,Self-Employed,60,0,0.28,Married,High School,0
39,36854.45,20209.09,691.0,Unemployed,12,0,0.25,Single,PhD,1
41,92354.7,4702.69,588.0,Employed,36,0,0.53,Married,PhD,0
25,100484.78,1000.0,727.0,Unemployed,36,1,0.61,Single,High School,0
30,55054.83,13058.55,684.0,Employed,12,0,0.41,Divorced,Bachelors,0
64,41403.11,5791.89,690.0,Unemployed,60,0,0.43,Divorced,Masters,1
32,43969.8,18268.86,754.0,Unemployed,60,0,0.34,Single,PhD,0
48,46402.17,11341.59,416.0,,24,1,0.35,Single,High School,1
64,68660.71,7434.03,729.0,Employed,12,0,0.35,Single,Masters,0
27,71889.11,16470.68,802.0,Unemployed,36,0,0.19,Single,Masters,0
39,31037.81,27027.36,687.0,Retired,36,1,0.27,Married,High School,1
21,73524.8,30896.49,714.0,Employed,12,0,0.33,Single,High School,1
38,49434.9,1000.0,,Self-Employed,48,0,0.02,Single,High School,0
56,56969.11,9126.61,674.0,Retired,12,1,0.21,Married,Bachelors,0
50,63544.57,14997.49,721.0,Unemployed,48,2,0.56,Single,Masters,1
50,65908.18,23360.71,631.0,Employed,36,2,0.16,Married,Masters,0
45,88281.21,7737.95,696.0,Employed,60,0,0.32,Married,Masters,0
26,32472.29,18733.37,578.0,Employed,60,0,0.22,Married,Bachelors,0
65,51814.95,9901.54,562.0,Employed,24,1,0.22,Single,Bachelors,1
60,58493.62,25366.97,612.0,Employed,12,0,0.5,Divorced,Bachelors,0
44,35082.53,23244.64,622.0,Self-Employed,48,0,0.19,Married,Masters,0
21,56472.93,5343.83,584.0,Employed,48,0,0.25,Single,Masters,0
25,74546.12,29089.5,693.0,Employed,24,0,0.02,Married,Masters,0
28,36617.81,10168.15,670.0,Employed,12,1,0.32,Single,Masters,1
60,46679.04,6967.56,529.0,Employed,48,0,0.46,Single,Bachelors,0
46,93831.55,16700.59,678.0,Employed,60,0,0.43,Married,Bachelors,0
35,54022.69,3755.46,729.0,Employed,24,1,0.17,Single,Bachelors,0
52,66192.58,11070.77,591.0,Employed,60,0,0.31,Single,Masters,0
31,15000.0,13717.12,654.0,Employed,48,0,0.16,Divorced,High School,0
53,24353.5,7961.49,626.0,Employed,24,1,0.51,Divorced,Bachelors,0
54,34149.44,7319.63,691.0,Employed,36,0,,Single,Masters,1
50,81833.07,19592.57,621.0,Self-Employed,48,0,0.29,Married,Masters,0
55,71842.21,15762.75,730.0,Employed,12,1,0.21,Single,High School,1
64,77887.99,12892.41,615.0,Employed,24,0,0.27,Single,High School,0
55,,20171.92,643.0,Retired,36,1,0.17,Single,Bachelors,0
59,60215.95,6888.83,648.0,Employed,12,2,0.41,Single,Masters,1
63,53521.28,7408.67,602.0,Employed,60,0,0.52,Divorced,Masters,1
59,78924.75,10131.28,673.0,Unemployed,24,0,0.38,Divorced,High School,0
65,53384.76,24784.66,694.0,Self-Employed,24,3,0.19,Single,High School,0
46,41428.64,6982.26,583.0,Employed,36,0,0.29,Married,Masters,0
40,80056.04,19177.14,621.0,Employed,12,0,0.15,Divorced,Bachelors,0
26,30732.66,6528.74,709.0,Employed,36,3,0.55,Single,High School,1
53,29664.79,6931.56,779.0,Employed,24,0,0.26,Married,High School,0
35,58798.31,8452.57,739.0,Self-Employed,36,1,0.5,Married,High School,0
33,35267.05,9338.99,522.0,Employed,36,0,0.43,Married,Masters,1
38,65753.2,18787.78,551.0,Employed,12,0,0.36,Married,Bachelors,0
30,40852.19,2508.05,613.0,Employed,36,0,0.02,Married,Bachelors,0
45,83179.43,27624.94,738.0,Employed,24,0,0.46,Married,Bachelors,0
42,52487.39,23564.88,740.0,Self-Employed,36,0,0.35,Single,High School,0
47,28641.25,16363.71,609.0,Employed,48,1,0.36,Married,Masters,1
57,68097.33,14244.33,700.0,Self-Employed,36,1,0.28,Married,High School,0
21,63437.94,17505.06,685.0,Unemployed,48,0,0.22,Single,Bachelors,0
26,35338.37,22051.26,596.0,Retired,24,0,0.46,Married,Masters,0
43,82242.1,8635.54,657.0,Employed,48,2,0.39,Married,Bachelors,0
46,56481.11,18150.38,633.0,Employed,12,0,0.25,Divorced,Bachelors,0
41,67117.26,5626.77,688.0,Unemployed,24,0,0.29,Married,High School,0
29,49428.16,26450.93,805.0,Retired,24,1,0.27,Married,Bachelors,0
50,59044.33,6915.21,606.0,Employed,24,0,0.36,Single,Masters,1
21,44098.92,19047.72,617.0,,24,0,0.37,Single,Masters,0
51,15000.0,13674.95,671.0,Employed,24,0,0.37,Single,Masters,0
37,15000.0,12337.12,639.0,Employed,36,0,0.39,Married,Bachelors,0
61,71493.9,13963.86,526.0,Employed,24,0,0.72,Single,Masters,0
21,42068.67,28337.79,721.0,Employed,12,0,0.33,Married,Bachelors,1
30,79762.72,1000.0,654.0,Employed,12,0,0.41,Single,Bachelors,0
38,78012.13,17636.07,,Self-Employed,24,1,0.6,Married,Bachelors,0
57,101434.77,30291.35,721.0,Employed,60,1,0.37,Single,PhD,0
48,58238.09,22827.38,635.0,Self-Employed,12,0,0.56,Divorced,Masters,0
53,76402.3,16764.33,724.0,Employed,36,0,0.45,Single,High School,0
49,76510.84,15734.02,816.0,Self-Employed,36,2,0.33,Married,High School,0
21,37315.23,5425.69,536.0,Employed,36,0,0.27,Single,Bachelors,1
44,69929.3,35966.34,687.0,Retired,48,0,0.33,Married,Bachelors,1
49,15000.0,12035.94,635.0,Employed,36,1,0.27,Single,High School,1
33,45006.41,21953.24,552.0,,48,0,0.37,Single,High School,1
64,51688.3,15029.57,737.0,Employed,60,0,0.46,Married,High School,0
65,68227.8,17341.72,521.0,Employed,36,0,0.42,Single,Bachelors,1
51,66676.78,46409.9,620.0,Self-Employed,12,1,0.39,Single,High School,0
22,59029.91,26646.58,742.0,Employed,36,0,0.34,Single,Bachelors,0
47,53284.68,20484.06,506.0,Employed,24,1,0.37,Single,High School,1
21,54935.15,1760.9,726.0,Employed,60,1,0.36,Married,High School,0
56,43527.03,6161.1,555.0,Retired,48,0,0.32,Married,Bachelors,0
38,38401.02,19957.69,760.0,Employed,48,0,0.2,Single,Masters,0
26,74956.66,18063.91,649.0,Employed,60,0,0.45,Single,High School,0
65,55483.95,34293.41,685.0,Employed,36,0,0.35,Married,High School,1
65,31688.58,18183.42,565.0,Employed,24,0,0.19,Single,Bachelors,0
45,69946.04,8599.69,584.0,Employed,24,0,0.39,Single,Bachelors,0
62,73573.2,29660.46,629.0,Employed,48,0,0.55,Married,Masters,1
64,54835.86,17893.29,635.0,Retired,48,0,0.4,Married,Bachelors,0
43,49233.75,11390.73,701.0,Employed,36,1,0.27,Single,High School,0
54,53214.83,13475.98,623.0,Retired,12,0,0.12,Married,High School,0
47,41843.26,10323.06,712.0,Employed,24,0,0.32,Married,Bachelors,0
65,50576.62,6282.94,565.0,Employed,48,0,0.39,Married,Masters,0
43,50605.18,15330.61,622.0,Retired,48,1,0.5,Single,Masters,1
35,60870.39,23654.13,570.0,Employed,48,0,0.15,Married,Masters,1
28,17678.98,19656.21,621.0,Employed,36,1,0.45,Single,Bachelors,1
32,37910.82,14408.42,691.0,Employed,48,2,0.27,Married,Bachelors,1
23,84978.54,27433.28,726.0,Retired,24,0,0.31,Single,Bachelors,0
54,31657.02,27709.02,705.0,Employed,24,0,0.22,Single,Bachelors,0
32,54540.03,10555.63,612.0,Self-Employed,24,0,0.23,Single,Bachelors,0
21,62996.74,19899.75,629.0,Unemployed,24,1,0.23,Divorced,High School,1
53,57640.85,28797.57,778.0,Employed,12,0,0.37,Married,Bachelors,0
51,65705.58,14227.01,631.0,Employed,24,0,0.4,Divorced,Masters,0
21,33001.7,17680.46,556.0,Employed,24,0,0.29,Single,Masters,1
30,66354.61,18395.15,472.0,Employed,24,1,0.34,Single,Bachelors,1
53,70010.6,8840.03,625.0,Employed,24,0,0.08,Single,Masters,0
39,47436.64,22611.59,642.0,Employed,12,1,0.17,Married,Bachelors,0
50,46611.34,31766.75,617.0,Employed,24,3,0.7,Single,Bachelors,1
57,40542.78,15984.63,650.0,Employed,36,1,0.13,Married,Bachelors,1
53,45218.35,7413.22,601.0,Unemployed,24,1,0.66,Single,High School,1
49,31184.38,12001.42,668.0,Employed,12,0,0.17,Single,Masters,0
34,78907.49,9600.53,716.0,Retired,36,0,0.65,Single,Bachelors,0
57,68560.15,23710.16,604.0,Self-Employed,24,0,0.06,Single,High School,0
29,63265.24,4631.07,590.0,Employed,36,0,0.31,Divorced,Masters,0
56,76122.53,10087.02,,Employed,36,1,0.51,Single,Masters,0
23,27716.61,18871.01,715.0,Employed,36,0,0.3,Married,Masters,0
31,59215.87,12601.29,679.0,Employed,60,1,0.52,Single,Bachelors,0
57,50674.14,18754.14,613.0,Self-Employed,48,0,0.11,Single,Masters,1
52,80922.11,12929.16,657.0,Employed,24,1,0.3,Single,High School,0
39,65554.55,8560.27,631.0,Employed,48,2,0.49,Single,Bachelors,1
57,50142.25,10146.4,700.0,Self-Employed,36,0,0.24,Single,Masters,0
62,51671.76,25631.47,664.0,Employed,48,1,0.74,Divorced,High School,1
53,87325.8,20450.88,510.0,Self-Employed,60,0,0.26,Married,Bachelors,0
55,45588.52,14503.97,763.0,Unemployed,24,0,0.4,Married,High School,0
32,55935.03,18356.88,559.0,Employed,36,1,0.13,Married,PhD,1
39,36281.69,17891.34,781.0,Employed,24,0,0.55,Single,Bachelors,0
52,66383.34,13585.81,600.0,Self-Employed,24,0,0.3,Married,Bachelors,0
25,66043.32,10921.55,667.0,Self-Employed,60,0,0.32,Married,Masters,1
57,39549.56,5955.08,779.0,Employed,36,0,0.27,Married,Masters,0
59,59298.2,24751.77,638.0,Self-Employed,60,2,0.25,Married,Bachelors,1
63,,12272.74,699.0,Unemployed,48,1,0.36,Single,PhD,1
61,45711.19,36544.27,645.0,Employed,36,1,0.34,Single,Masters,1
23,55517.41,10441.34,744.0,Retired,36,0,0.32,Married,Masters,0
39,89452.56,1000.0,698.0,Employed,60,0,0.3,Married,High School,0
43,27540.55,15681.68,680.0,Self-Employed,12,3,0.16,Divorced,High School,1
38,56026.24,21725.88,694.0,Employed,48,0,0.42,Married,Masters,0
53,54370.21,14731.1,824.0,Retired,36,0,0.3,Single,Bachelors,0
53,44726.57,10894.43,596.0,Employed,60,3,0.35,Married,Bachelors,1
54,33225.49,6262.69,706.0,Employed,60,1,0.34,Single,Bachelors,0
28,47316.14,17490.47,732.0,Employed,60,0,0.47,Divorced,Masters,0
54,41396.59,6793.98,670.0,Self-Employed,36,0,0.2,Married,Bachelors,0
25,,18705.65,754.0,Employed,48,2,0.14,Divorced,Bachelors,0
26,55613.5,18530.46,,Self-Employed,24,0,0.16,Single,High School,0
54,38729.66,11975.94,676.0,Self-Employed,12,0,0.26,Divorced,High School,0
60,65477.76,1000.0,850.0,Self-Employed,48,3,0.22,Married,Masters,0
42,59241.06,26713.42,521.0,Employed,36,0,0.46,Married,High School,1
36,65306.49,13757.93,590.0,Employed,12,0,0.27,Married,Bachelors,0
27,75278.17,27154.27,676.0,Employed,24,1,0.21,Married,Bachelors,1
65,50843.18,15124.95,745.0,Employed,24,0,,Married,Bachelors,1
46,78713.09,14250.91,521.0,Unemployed,24,0,,Single,Bachelors,1
55,54410.44,19777.83,480.0,Retired,24,0,0.4,Married,High School,1
40,55509.73,12122.96,736.0,Self-Employed,24,0,0.16,Married,Masters,0
23,49435.9,19432.46,687.0,Employed,36,2,0.28,Single,Bachelors,0
60,58998.41,14355.2,671.0,Employed,36,0,0.44,Single,High School,0
57,60558.99,11178.84,577.0,Employed,60,0,0.72,Married,Bachelors,0
42,57705.43,22081.85,665.0,Unemployed,36,1,0.49,Single,PhD,1
44,73847.77,13347.11,508.0,Self-Employed,36,0,0.61,Single,High School,1
39,55730.65,9584.04,688.0,Employed,48,1,0.3,Single,Masters,0
46,76342.67,16563.85,606.0,Retired,36,2,0.42,Divorced,High School,0
61,67202.67,32320.45,573.0,Unemployed,12,0,0.24,Married,Masters,1
44,28385.45,17245.09,591.0,Employed,24,0,0.69,Single,Bachelors,1
64,45411.38,8500.78,723.0,Employed,60,1,0.24,Single,Masters,0
42,34677.07,12583.64,648.0,Employed,48,0,0.13,Married,High School,1
37,57457.64,14394.68,598.0,Employed,36,0,0.37,Single,Masters,0
45,64697.61,7763.09,749.0,Employed,24,1,0.38,Divorced,Masters,0
44,54375.67,13052.93,601.0,Employed,48,0,0.12,Married,Masters,0
25,42724.28,13302.33,707.0,Employed,60,0,0.45,Married,Bachelors,0
65,65179.17,1000.0,705.0,Employed,60,0,0.51,Single,Bachelors,0
28,40630.65,18667.09,633.0,Employed,24,1,0.27,Married,Bachelors,0
34,35827.95,14568.76,717.0,Employed,48,0,0.02,Divorced,Bachelors,1
55,82512.43,4659.0,681.0,Employed,24,1,0.43,Single,High School,0
56,66029.93,4654.87,578.0,Unemployed,36,1,0.4,Married,Bachelors,0
28,31967.61,18706.31,636.0,Employed,36,0,0.38,Married,Bachelors,0
57,64317.86,1000.0,576.0,Unemployed,36,0,0.12,Single,High School,0
50,42824.94,17820.04,634.0,Employed,48,0,0.17,Single,Masters,1
56,79916.91,11880.61,585.0,Employed,48,0,0.26,Married,High School,0
50,19112.76,20109.28,534.0,Employed,60,0,0.26,Married,PhD,1
57,48724.26,24604.25,650.0,Retired,36,1,0.33,Married,Bachelors,1
43,31954.52,22972.56,675.0,Employed,36,0,0.45,Married,Masters,1
33,57305.88,1000.0,697.0,Employed,36,0,0.53,Single,Bachelors,0
64,26326.11,2719.68,665.0,Employed,36,0,0.44,Single,PhD,0
44,53816.5,22883.6,807.0,Employed,36,0,0.43,Married,Bachelors,0
52,47020.92,18203.85,561.0,Employed,24,0,0.15,Single,High School,1
42,63279.5,2384.03,502.0,Employed,12,1,0.36,Single,High School,0
37,69719.79,18595.79,794.0,Employed,12,3,0.12,Married,Bachelors,0
36,31780.7,6739.81,815.0,Employed,36,0,0.37,Single,Bachelors,0
55,,26959.51,697.0,Employed,36,0,0.04,Married,Masters,1
65,64944.82,1000.0,652.0,Employed,12,2,0.11,Married,Bachelors,0
26,65150.36,16264.43,549.0,Employed,24,1,0.36,Single,Bachelors,1
31,64746.33,18426.53,705.0,Self-Employed,36,0,0.09,Married,High School,0
31,53197.23,10748.36,523.0,Employed,24,0,0.24,Divorced,High School,0
29,55576.07,21893.09,721.0,Employed,48,0,0.23,Single,High School,0
24,48289.0,1000.0,788.0,Self-Employed,12,0,0.48,Single,High School,0
48,46858.49,25109.65,740.0,Employed,48,0,0.28,Married,Masters,0
28,42974.37,17708.42,734.0,Employed,36,0,0.4,Married,High School,0
45,76366.55,10102.66,713.0,Self-Employed,12,0,0.19,Married,Bachelors,0
